station,date,label
COQ,202102010000,msng
COQ,202102010100,msng
COQ,202102010200,msng
COQ,202102010300,msng
COQ,202102010400,msng
COQ,202102010500,msng
COQ,202102010600,msng
COQ,202102010700,msng
COQ,202102010800,msng
COQ,202102010900,msng
COQ,202102011000,msng
COQ,202102011100,msng
COQ,202102011200,msng
COQ,202102011300,msng
COQ,202102011400,msng
COQ,202102011500,msng
COQ,202102011600,msng
COQ,202102011700,msng
COQ,202102011800,msng
COQ,202102011900,msng
COQ,202102012000,msng
COQ,202102012100,msng
COQ,202102012200,msng
COQ,202102012300,msng
COQ,202102020000,msng
COQ,202102020100,msng
COQ,202102020200,msng
COQ,202102020300,msng
COQ,202102020400,msng
COQ,202102020500,msng
COQ,202102020600,msng
COQ,202102020700,msng
COQ,202102020800,msng
COQ,202102020900,msng
COQ,202102021000,msng
COQ,202102021100,msng
COQ,202102021200,msng
COQ,202102021300,msng
COQ,202102021400,msng
COQ,202102021500,msng
COQ,202102021600,msng
COQ,202102021700,msng
COQ,202102021800,msng
COQ,202102021900,msng
COQ,202102022000,msng
COQ,202102022100,msng
COQ,202102022200,msng
COQ,202102022300,msng
COQ,202102030000,msng
COQ,202102030100,msng
COQ,202102030200,msng
COQ,202102030300,msng
COQ,202102030400,msng
COQ,202102030500,msng
COQ,202102030600,msng
COQ,202102030700,msng
COQ,202102030800,msng
COQ,202102030900,msng
COQ,202102031000,msng
COQ,202102031100,msng
COQ,202102031200,msng
COQ,202102031300,msng
COQ,202102031400,msng
COQ,202102031500,msng
COQ,202102031600,msng
COQ,202102031700,msng
COQ,202102031800,msng
COQ,202102031900,msng
COQ,202102032000,msng
COQ,202102032100,msng
COQ,202102032200,msng
COQ,202102032300,msng
COQ,202102040000,msng
COQ,202102040100,msng
COQ,202102040200,msng
COQ,202102040300,msng
COQ,202102040400,msng
COQ,202102040500,msng
COQ,202102040600,msng
COQ,202102040700,msng
COQ,202102040800,msng
COQ,202102040900,msng
COQ,202102041000,msng
COQ,202102041100,msng
COQ,202102041300,msng
COQ,202102041400,msng
COQ,202102041500,msng
COQ,202102041600,msng
COQ,202102041700,msng
COQ,202102041800,msng
COQ,202102041900,msng
COQ,202102042000,msng
COQ,202102042100,msng
COQ,202102042200,msng
COQ,202102042300,msng
COQ,202102050000,msng
COQ,202102050100,msng
COQ,202102050200,msng
COQ,202102050300,msng
COQ,202102050400,msng
COQ,202102050500,msng
COQ,202102050600,msng
COQ,202102050700,msng
COQ,202102050800,msng
COQ,202102050900,msng
COQ,202102051000,msng
COQ,202102051100,msng
COQ,202102051200,msng
COQ,202102051300,msng
COQ,202102051400,msng
COQ,202102051500,msng
COQ,202102051600,msng
COQ,202102051700,msng
COQ,202102051800,msng
COQ,202102051900,msng
COQ,202102052100,msng
COQ,202102052200,msng
COQ,202102052300,msng
COQ,202102060000,msng
COQ,202102060100,msng
COQ,202102060200,msng
COQ,202102060300,msng
COQ,202102060500,msng
COQ,202102060600,msng
COQ,202102060700,msng
COQ,202102060800,msng
COQ,202102060900,msng
COQ,202102061000,msng
COQ,202102061100,msng
COQ,202102061200,msng
COQ,202102061300,msng
COQ,202102061400,msng
COQ,202102061500,msng
COQ,202102061700,msng
COQ,202102061800,msng
COQ,202102061900,msng
COQ,202102062000,msng
COQ,202102062100,msng
COQ,202102062200,msng
COQ,202102062300,msng
COQ,202102070000,msng
COQ,202102070100,msng
COQ,202102070200,msng
COQ,202102070300,msng
COQ,202102070400,msng
COQ,202102070500,msng
COQ,202102070600,msng
COQ,202102070700,msng
COQ,202102070800,msng
COQ,202102070900,msng
COQ,202102071000,msng
COQ,202102071100,msng
COQ,202102071200,msng
COQ,202102071300,msng
COQ,202102071400,msng
COQ,202102071500,msng
COQ,202102071600,msng
COQ,202102071700,msng
COQ,202102071800,msng
COQ,202102071900,msng
COQ,202102072000,msng
COQ,202102072100,msng
COQ,202102072200,msng
COQ,202102072300,msng
COQ,202102080000,msng
COQ,202102080100,msng
COQ,202102080200,msng
COQ,202102080300,msng
COQ,202102080400,msng
COQ,202102080500,msng
COQ,202102080600,msng
COQ,202102080700,msng
COQ,202102080800,msng
COQ,202102081000,msng
COQ,202102081100,msng
COQ,202102081200,msng
COQ,202102081300,msng
COQ,202102081400,msng
COQ,202102081500,msng
COQ,202102081600,msng
COQ,202102081700,msng
COQ,202102081800,msng
COQ,202102081900,msng
COQ,202102082000,msng
COQ,202102082100,msng
COQ,202102082200,msng
COQ,202102082300,msng
COQ,202102090000,msng
COQ,202102090100,msng
COQ,202102090200,msng
COQ,202102090300,msng
COQ,202102090400,msng
COQ,202102090500,msng
COQ,202102090600,msng
COQ,202102090700,msng
COQ,202102090800,msng
COQ,202102090900,msng
COQ,202102091000,msng
COQ,202102091100,msng
COQ,202102091200,msng
COQ,202102091300,msng
COQ,202102091400,msng
COQ,202102091500,msng
COQ,202102091600,msng
COQ,202102091700,msng
COQ,202102091800,msng
COQ,202102091900,msng
COQ,202102092000,msng
COQ,202102092100,msng
COQ,202102092200,msng
COQ,202102092300,msng
COQ,202102100000,msng
COQ,202102100100,msng
COQ,202102100200,msng
COQ,202102100300,msng
COQ,202102100400,msng
COQ,202102100500,msng
COQ,202102100600,msng
COQ,202102100700,msng
COQ,202102100800,msng
COQ,202102100900,msng
COQ,202102101000,msng
COQ,202102101100,msng
COQ,202102101200,msng
COQ,202102101300,msng
COQ,202102101500,msng
COQ,202102101600,msng
COQ,202102101800,msng
COQ,202102101900,msng
COQ,202102102000,msng
COQ,202102102100,msng
COQ,202102102200,msng
COQ,202102102300,msng
COQ,202102110000,msng
COQ,202102110100,msng
COQ,202102110200,msng
COQ,202102110300,msng
COQ,202102110400,msng
COQ,202102110500,msng
COQ,202102110600,msng
COQ,202102110700,msng
COQ,202102110800,msng
COQ,202102110900,msng
COQ,202102111000,msng
COQ,202102111100,msng
COQ,202102111200,msng
COQ,202102111300,msng
COQ,202102111400,msng
COQ,202102111500,msng
COQ,202102111600,msng
COQ,202102111700,msng
COQ,202102111800,msng
COQ,202102111900,msng
COQ,202102112000,msng
COQ,202102112100,msng
COQ,202102112200,msng
COQ,202102112300,msng
COQ,202102120000,msng
COQ,202102120100,msng
COQ,202102120200,msng
COQ,202102120300,msng
COQ,202102120400,msng
COQ,202102120500,msng
COQ,202102120600,msng
COQ,202102120700,msng
COQ,202102120800,msng
COQ,202102120900,msng
COQ,202102121000,msng
COQ,202102121100,msng
COQ,202102121200,msng
COQ,202102121300,msng
COQ,202102121400,msng
COQ,202102121500,msng
COQ,202102121600,msng
COQ,202102121700,msng
COQ,202102121800,msng
COQ,202102121900,msng
COQ,202102122000,msng
COQ,202102122100,msng
COQ,202102122200,msng
COQ,202102122300,msng
COQ,202102130000,msng
COQ,202102130100,msng
COQ,202102130200,msng
COQ,202102130300,msng
COQ,202102130400,msng
COQ,202102130500,msng
COQ,202102130600,msng
COQ,202102130700,msng
COQ,202102130800,msng
COQ,202102130900,msng
COQ,202102131000,msng
COQ,202102131100,msng
COQ,202102131200,msng
COQ,202102131300,msng
COQ,202102131400,msng
COQ,202102131500,msng
COQ,202102131600,msng
COQ,202102131700,msng
COQ,202102131800,msng
COQ,202102131900,msng
COQ,202102132000,msng
COQ,202102132100,msng
COQ,202102132200,msng
COQ,202102132300,msng
COQ,202102140000,msng
COQ,202102140100,msng
COQ,202102140200,msng
COQ,202102140300,msng
COQ,202102140400,msng
